ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
e6a,Li53.6La24.0Zr13.6Ta2.4O96.0,230,12.9721,12.9721,12.9721,90.0,90.0,90.0,0.00069,10.1149/2.024205esl,Close Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
Polycrystalline powders of Li7-xLa3Zr2-xTaxO12 were synthesized using a two-step solid-state method. Stoichiometric amounts of LiOH·H2O (with 10 wt% excess to compensate for evaporation), La2O3, ZrO2, and Ta2O5 precursors were initially ball-milled in 2-propanol for 24 hours using zirconia balls. The resulting mixture was dried and then calcined in air at 900°C for 10 hours in alumina crucibles. This ball-milling and calcination process was repeated once to enhance purity. The calcined powders were then mixed with approximately 0.5 atomic % of NaHCO3 and α-Al2O3 as sintering aids. These mixtures were cold-pressed into 1/2 inch diameter pellets at 5 tons. For Zr-rich compositions (x=0.2-0.5), Li5La3Ta2O12 (LLZT2) buffer pellets were placed below the samples, and all pellets were covered with powders of the same composition to minimize Al contamination from the crucibles and prevent evaporation during sintering. Finally, the pellets were sintered in air in alumina crucibles.

**Key Conditions:**
*   **Precursors:** LiOH·H2O (99.995%), La2O3 (99.9%), ZrO2 (99.7%), Ta2O5 (99.85%). 10 wt% excess LiOH·H2O.
*   **Mixing:** Ball-milled in 2-propanol for 24 hours with zirconia balls.
*   **Calcination:**
    *   Temperature: 900°C
    *   Dwell Time: 10 hours
    *   Atmosphere: Air
    *   Heating Rate: 3°C/min
    *   Repetitions: Performed twice (ball-milling and calcination cycle repeated once).
*   **Sintering:**
    *   Sintering Aids: ~0.5 atomic % NaHCO3 and α-Al2O3.
    *   Pressing: Cold-pressed at 5 tons.
    *   Atmosphere: Air
    *   Dwell Time: 36 hours
    *   Heating Rates: 3°C/min up to 900°C, then 1°C/min to the final sintering temperature.
    *   Cooling Rate: 4°C/min.
    *   Specific Sintering Temperatures (by 'x' value in Li7-xLa3Zr2-xTaxO12):
        *   x=0.2, 0.25, 0.35, 0.4, 0.45, 0.5: 1130°C
        *   x=0.3, 1: 1100°C
        *   x=2: 1230°C"
g5q,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.9187,12.9187,12.9187,90.0,90.0,90.0,0.00028,10.1149/2.024205esl,Close Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
Polycrystalline powders of Li7-xLa3Zr2-xTaxO12 were synthesized using a two-step solid-state method. Stoichiometric amounts of LiOH·H2O (with 10 wt% excess to compensate for evaporation), La2O3, ZrO2, and Ta2O5 precursors were initially ball-milled in 2-propanol for 24 hours using zirconia balls. The resulting mixture was dried and then calcined in air at 900°C for 10 hours in alumina crucibles. This ball-milling and calcination process was repeated once to enhance purity. The calcined powders were then mixed with approximately 0.5 atomic % of NaHCO3 and α-Al2O3 as sintering aids. These mixtures were cold-pressed into 1/2 inch diameter pellets at 5 tons. For Zr-rich compositions (x=0.2-0.5), Li5La3Ta2O12 (LLZT2) buffer pellets were placed below the samples, and all pellets were covered with powders of the same composition to minimize Al contamination from the crucibles and prevent evaporation during sintering. Finally, the pellets were sintered in air in alumina crucibles.

**Key Conditions:**
*   **Precursors:** LiOH·H2O (99.995%), La2O3 (99.9%), ZrO2 (99.7%), Ta2O5 (99.85%). 10 wt% excess LiOH·H2O.
*   **Mixing:** Ball-milled in 2-propanol for 24 hours with zirconia balls.
*   **Calcination:**
    *   Temperature: 900°C
    *   Dwell Time: 10 hours
    *   Atmosphere: Air
    *   Heating Rate: 3°C/min
    *   Repetitions: Performed twice (ball-milling and calcination cycle repeated once).
*   **Sintering:**
    *   Sintering Aids: ~0.5 atomic % NaHCO3 and α-Al2O3.
    *   Pressing: Cold-pressed at 5 tons.
    *   Atmosphere: Air
    *   Dwell Time: 36 hours
    *   Heating Rates: 3°C/min up to 900°C, then 1°C/min to the final sintering temperature.
    *   Cooling Rate: 4°C/min.
    *   Specific Sintering Temperatures (by 'x' value in Li7-xLa3Zr2-xTaxO12):
        *   x=0.2, 0.25, 0.35, 0.4, 0.45, 0.5: 1130°C
        *   x=0.3, 1: 1100°C
        *   x=2: 1230°C"
j5g,Li48.0La24.0Nb12.0Y4.0O96.0,230,12.9136,12.9136,12.9136,90.0,90.0,90.0,0.000188,10.1021/jp304737x,Match,"Based on the provided paper, the synthesis method described is for novel Li-stuffed garnet-like compounds with the general formula Li$_{5+2x}$La$_3$Nb$_{2-x}$Y$_x$O$_{12}$ (where 0.05 $\leq x \leq$ 0.75). The specific materials listed in your request do not precisely match this stoichiometry. However, the processing method used for the garnet compounds in this paper is as follows:

**Method Name:** Solid-State Ceramic Technique (or Solid-State Reaction)

**Procedure Summary:**
The materials were prepared using a conventional solid-state ceramic technique. First, stoichiometric amounts of high-purity precursors (LiNO$_3$, preheated La$_2$O$_3$, Nb$_2$O$_5$, and Y(NO$_3$)$_3$) were weighed, with an additional 10 wt% excess of LiNO$_3$ added to compensate for lithium loss during high-temperature annealing. These precursors were then homogeneously mixed by ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls. This mixing step was performed both before and after an initial heat treatment. The mixed powders underwent an initial heat treatment at 700 °C for 6 hours. Subsequently, the resulting powders were pressed into pellets using an isostatic press. These pellets were then subjected to a two-stage sintering process in clean alumina crucibles, covered with ""mother powder"" to minimize volatilization.

**Key Conditions:**
*   **Precursors:** LiNO$_3$ (99%, Alfa Aesar, 10 wt% excess), La$_2$O$_3$ (99.99%, Alfa Aesar, preheated at 900 °C for 24 h), Nb$_2$O$_5$ (99.5%, Alfa Aesar), Y(NO$_3$)$_3$ (99.9%, Alfa Aesar).
*   **Mixing:** Ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls.
*   **Atmosphere:** Air (for all heat treatments).
*   **Crucible:** Clean alumina crucibles, with pellets covered by mother powder during sintering.
*   **Initial Heat Treatment:** 700 °C for 6 hours.
*   **Sintering Temperatures/Times:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1100 °C for 6 hours."
dvb,Li41.6La24.0Nb15.2Y0.8O96.0,230,12.8216,12.8216,12.8216,90.0,90.0,90.0,6.39e-05,10.1021/jp304737x,Match,"Based on the provided paper, the synthesis method described is for novel Li-stuffed garnet-like compounds with the general formula Li$_{5+2x}$La$_3$Nb$_{2-x}$Y$_x$O$_{12}$ (where 0.05 $\leq x \leq$ 0.75). The specific materials listed in your request do not precisely match this stoichiometry. However, the processing method used for the garnet compounds in this paper is as follows:

**Method Name:** Solid-State Ceramic Technique (or Solid-State Reaction)

**Procedure Summary:**
The materials were prepared using a conventional solid-state ceramic technique. First, stoichiometric amounts of high-purity precursors (LiNO$_3$, preheated La$_2$O$_3$, Nb$_2$O$_5$, and Y(NO$_3$)$_3$) were weighed, with an additional 10 wt% excess of LiNO$_3$ added to compensate for lithium loss during high-temperature annealing. These precursors were then homogeneously mixed by ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls. This mixing step was performed both before and after an initial heat treatment. The mixed powders underwent an initial heat treatment at 700 °C for 6 hours. Subsequently, the resulting powders were pressed into pellets using an isostatic press. These pellets were then subjected to a two-stage sintering process in clean alumina crucibles, covered with ""mother powder"" to minimize volatilization.

**Key Conditions:**
*   **Precursors:** LiNO$_3$ (99%, Alfa Aesar, 10 wt% excess), La$_2$O$_3$ (99.99%, Alfa Aesar, preheated at 900 °C for 24 h), Nb$_2$O$_5$ (99.5%, Alfa Aesar), Y(NO$_3$)$_3$ (99.9%, Alfa Aesar).
*   **Mixing:** Ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls.
*   **Atmosphere:** Air (for all heat treatments).
*   **Crucible:** Clean alumina crucibles, with pellets covered by mother powder during sintering.
*   **Initial Heat Treatment:** 700 °C for 6 hours.
*   **Sintering Temperatures/Times:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1100 °C for 6 hours."
cti,Li43.2La24.0Nb14.4Y1.6O96.0,230,12.8306,12.8306,12.8306,90.0,90.0,90.0,6.74e-05,10.1021/jp304737x,Match,"Based on the provided paper, the synthesis method described is for novel Li-stuffed garnet-like compounds with the general formula Li$_{5+2x}$La$_3$Nb$_{2-x}$Y$_x$O$_{12}$ (where 0.05 $\leq x \leq$ 0.75). The specific materials listed in your request do not precisely match this stoichiometry. However, the processing method used for the garnet compounds in this paper is as follows:

**Method Name:** Solid-State Ceramic Technique (or Solid-State Reaction)

**Procedure Summary:**
The materials were prepared using a conventional solid-state ceramic technique. First, stoichiometric amounts of high-purity precursors (LiNO$_3$, preheated La$_2$O$_3$, Nb$_2$O$_5$, and Y(NO$_3$)$_3$) were weighed, with an additional 10 wt% excess of LiNO$_3$ added to compensate for lithium loss during high-temperature annealing. These precursors were then homogeneously mixed by ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls. This mixing step was performed both before and after an initial heat treatment. The mixed powders underwent an initial heat treatment at 700 °C for 6 hours. Subsequently, the resulting powders were pressed into pellets using an isostatic press. These pellets were then subjected to a two-stage sintering process in clean alumina crucibles, covered with ""mother powder"" to minimize volatilization.

**Key Conditions:**
*   **Precursors:** LiNO$_3$ (99%, Alfa Aesar, 10 wt% excess), La$_2$O$_3$ (99.99%, Alfa Aesar, preheated at 900 °C for 24 h), Nb$_2$O$_5$ (99.5%, Alfa Aesar), Y(NO$_3$)$_3$ (99.9%, Alfa Aesar).
*   **Mixing:** Ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls.
*   **Atmosphere:** Air (for all heat treatments).
*   **Crucible:** Clean alumina crucibles, with pellets covered by mother powder during sintering.
*   **Initial Heat Treatment:** 700 °C for 6 hours.
*   **Sintering Temperatures/Times:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1100 °C for 6 hours."
2d1,Li44.0La24.0Nb14.0Y2.0O96.0,230,12.8582,12.8582,12.8582,90.0,90.0,90.0,9.18e-05,10.1021/jp304737x,Match,"Based on the provided paper, the synthesis method described is for novel Li-stuffed garnet-like compounds with the general formula Li$_{5+2x}$La$_3$Nb$_{2-x}$Y$_x$O$_{12}$ (where 0.05 $\leq x \leq$ 0.75). The specific materials listed in your request do not precisely match this stoichiometry. However, the processing method used for the garnet compounds in this paper is as follows:

**Method Name:** Solid-State Ceramic Technique (or Solid-State Reaction)

**Procedure Summary:**
The materials were prepared using a conventional solid-state ceramic technique. First, stoichiometric amounts of high-purity precursors (LiNO$_3$, preheated La$_2$O$_3$, Nb$_2$O$_5$, and Y(NO$_3$)$_3$) were weighed, with an additional 10 wt% excess of LiNO$_3$ added to compensate for lithium loss during high-temperature annealing. These precursors were then homogeneously mixed by ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls. This mixing step was performed both before and after an initial heat treatment. The mixed powders underwent an initial heat treatment at 700 °C for 6 hours. Subsequently, the resulting powders were pressed into pellets using an isostatic press. These pellets were then subjected to a two-stage sintering process in clean alumina crucibles, covered with ""mother powder"" to minimize volatilization.

**Key Conditions:**
*   **Precursors:** LiNO$_3$ (99%, Alfa Aesar, 10 wt% excess), La$_2$O$_3$ (99.99%, Alfa Aesar, preheated at 900 °C for 24 h), Nb$_2$O$_5$ (99.5%, Alfa Aesar), Y(NO$_3$)$_3$ (99.9%, Alfa Aesar).
*   **Mixing:** Ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls.
*   **Atmosphere:** Air (for all heat treatments).
*   **Crucible:** Clean alumina crucibles, with pellets covered by mother powder during sintering.
*   **Initial Heat Treatment:** 700 °C for 6 hours.
*   **Sintering Temperatures/Times:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1100 °C for 6 hours."
gz8,Li40.0La24.0Ta16.0O96.0,230,12.8176,12.8176,12.8176,90.0,90.0,90.0,1.59e-05,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
419,Li42.4La24.0Ta14.8Sm1.2O96.0,230,12.8108,12.8108,12.8108,90.0,90.0,90.0,7.11e-06,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
c0g,Li44.0La24.0Ta14.0Sm2.0O96.0,230,12.8206,12.8206,12.8206,90.0,90.0,90.0,5.17e-06,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
kbu,Li45.6La24.0Ta13.2Sm2.8O96.0,230,12.8309,12.8309,12.8309,90.0,90.0,90.0,2.15e-05,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
fam,Li47.2La24.0Ta12.4Sm3.6O96.0,230,12.846,12.846,12.846,90.0,90.0,90.0,1.18e-05,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
dae,Li48.8La24.0Ta11.6Sm4.4O96.0,230,12.8525,12.8525,12.8525,90.0,90.0,90.0,1.4e-05,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
gkl,Li40.0La24.0Nb16.0O96.0,230,12.718,12.718,12.718,90.0,90.0,90.0,5.08e-06,10.1016/j.jpowsour.2011.05.031,Close Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
ijh,Li40.0La24.0Nb15.6Y0.4O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,1.34e-05,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
q46,Li40.0La24.0Nb15.2Y0.8O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,1.44e-05,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
8m3,Li40.0La24.0Nb14.8Y1.2O96.0,230,12.732,12.732,12.732,90.0,90.0,90.0,5.71e-06,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
zyx,Li40.0La24.0Nb14.4Y1.6O96.0,230,12.743,12.743,12.743,90.0,90.0,90.0,9.13e-06,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
qvu,Li40.0La24.0Nb14.0Y2.0O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,9.68e-06,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
